hashtag_H	cluster_C_leader(userID)	relative_frequency_H_C	frequency_H_in_C	frequency_H_overall	count_H_in_C	count_tweets_in_C	count_H_entire_dataset	count_tweets_entire_dataset
UnsafeSchoolsAB	1001228776032763905	2380.92857	.33333	.00014	3	9	3	20481
COVIDisAirborne	1001228776032763905	33.46686	.33333	.00996	3	9	204	20481
VentilationMatters	1001228776032763905	2469.11111	.22222	.00009	2	9	2	20481
N95sForAll	1001228776032763905	326.79411	.11111	.00034	1	9	7	20481
LongCovidKids	1001228776032763905	28.85974	.11111	.00385	1	9	79	20481
LongCovid	1001228776032763905	2.22709	.11111	.04989	1	9	1022	20481
KovidKenney	1001228776032763905	2777.75000	.11111	.00004	1	9	1	20481
FireTheUCP	1001228776032763905	231.47916	.11111	.00048	1	9	10	20481
CovidMisinformation	1001228776032763905	2777.75000	.11111	.00004	1	9	1	20481
JusticeMatters	1003107003693137921	2185.79234	8.00000	.00366	64	8	75	20481
TeamJustice	1003107003693137921	2604.16666	1.25000	.00048	10	8	10	20481
WeFightOn	1003107003693137921	3125.00000	.12500	.00004	1	8	1	20481
MalteseMatter	1003107003693137921	3125.00000	.12500	.00004	1	8	1	20481
LetsRoll	1003107003693137921	3125.00000	.12500	.00004	1	8	1	20481
JusticeMaters	1003107003693137921	3125.00000	.12500	.00004	1	8	1	20481
InvestigateNOW	1003107003693137921	3125.00000	.12500	.00004	1	8	1	20481
InherentContempt	1003107003693137921	3125.00000	.12500	.00004	1	8	1	20481
WomensHistoryMonth	1003662615661436929	213.67307	.33333	.00156	1	3	32	20481
TruckerTantrum2022	1003662615661436929	8333.25000	.33333	.00004	1	3	1	20481
FluTruckKlan	1003662615661436929	628.92452	.33333	.00053	1	3	11	20481
Covid19	100380798	293.48986	2.75000	.00937	11	4	192	20481
Covid	100380798	322.16494	2.50000	.00776	10	4	159	20481
Coronavirus	100380798	2739.72602	2.00000	.00073	8	4	15	20481
Corona	100380798	3773.58490	2.00000	.00053	8	4	11	20481
Ukraine	1003895325025865730	3.20020	.50000	.15624	4	8	3200	20481
Russia	1003895325025865730	4.26039	.25000	.05868	2	8	1202	20481
StandWithUkriane	1003895325025865730	27.29257	.12500	.00458	1	8	94	20481
Minsk	1003895325025865730	431.03448	.12500	.00029	1	8	6	20481
Kramatorsk	1003895325025865730	150.60240	.12500	.00083	1	8	17	20481
HolocaustRemembranceDay	1003895325025865730	67.56756	.12500	.00185	1	8	38	20481
EPF	1003895325025865730	3125.00000	.12500	.00004	1	8	1	20481
Auschwitz	1003895325025865730	50.20080	.12500	.00249	1	8	51	20481
dogsoftwitter	1004085488859385863	608.51926	3.00000	.00493	9	3	101	20481
adoptme	1004085488859385863	2450.97058	1.66666	.00068	5	3	14	20481
AdoptDontShop	1004085488859385863	156.12763	1.33333	.00854	4	3	175	20481
corsirosenthalbox	1005148131091275777	427.34615	.66666	.00156	2	3	32	20481
mathfacts	1005148131091275777	8333.25000	.33333	.00004	1	3	1	20481
corsirosenthal	1005148131091275777	8333.25000	.33333	.00004	1	3	1	20481
fluke_natouch	1005237882	124.92192	2.00000	.01601	2	1	328	20481
StandWithUkraine	1005846500583321601	9.77865	.44444	.04545	8	18	931	20481
Tuckyorose	1005846500583321601	877.15789	.16666	.00019	3	18	4	20481
HereRightMatters	1005846500583321601	1190.42857	.16666	.00014	3	18	3	20481
tuckyorose	1005846500583321601	1388.75000	.05555	.00004	1	18	1	20481
StandWithUkriane	1005846500583321601	12.12882	.05555	.00458	1	18	94	20481
StandwithUkraine	1005846500583321601	163.38235	.05555	.00034	1	18	7	20481
standwithukraine	1005846500583321601	104.81132	.05555	.00053	1	18	11	20481
SlavaUkraini	1005846500583321601	10.74468	.05555	.00517	1	18	106	20481
sendstingers	1005846500583321601	1388.75000	.05555	.00004	1	18	1	20481
sendjavelins	1005846500583321601	1388.75000	.05555	.00004	1	18	1	20481
Russian	1005846500583321601	2.83852	.05555	.01957	1	18	401	20481
Moscow	1005846500583321601	31.74285	.05555	.00175	1	18	36	20481
IStandWithUkraine	1005846500583321601	9.72854	.05555	.00571	1	18	117	20481
indomitable	1005846500583321601	1388.75000	.05555	.00004	1	18	1	20481
GOPownsthis	1005846500583321601	1388.75000	.05555	.00004	1	18	1	20481
girlpower	1005846500583321601	617.22222	.05555	.00009	1	18	2	20481
BeFierce	1005846500583321601	1388.75000	.05555	.00004	1	18	1	20481
BeAWelcomer	1005846500583321601	1388.75000	.05555	.00004	1	18	1	20481
Oscars	100588178	50.70993	.25000	.00493	1	4	101	20481
MLKDay	100588178	116.82242	.25000	.00214	1	4	44	20481
GoodHair	100588178	6250.00000	.25000	.00004	1	4	1	20481
AprilFoolsDay	100588178	1041.66666	.25000	.00024	1	4	5	20481
TrumpRally	1006165181871910912	57.36947	.14285	.00249	1	7	51	20481
Trumprally	1006165181871910912	1587.22222	.14285	.00009	1	7	2	20481
TrumpIsANationalDisgrace	1006165181871910912	3571.25000	.14285	.00004	1	7	1	20481
TrumpCovid19	1006165181871910912	3571.25000	.14285	.00004	1	7	1	20481
Maddow	1006165181871910912	97.84246	.14285	.00146	1	7	30	20481
HIPPA	1006165181871910912	3571.25000	.14285	.00004	1	7	1	20481
AbbottFailedTexasAgain	1006165181871910912	366.28205	.14285	.00039	1	7	8	20481
FridaysForFuture	1006419421244678144	358.85167	.75000	.00209	9	12	43	20481
PeopleNotProfit	1006419421244678144	634.05434	.58333	.00092	7	12	19	20481
ClimateStrike	1006419421244678144	333.33142	.58333	.00175	7	12	36	20481
UprootTheSystem	1006419421244678144	367.64705	.25000	.00068	3	12	14	20481
ToryCorruption	1006419421244678144	32.29844	.08333	.00258	1	12	53	20481
StandWithUkraine	1006419421244678144	1.83344	.08333	.04545	1	12	931	20481
StandWithSapmi	1006419421244678144	2083.25000	.08333	.00004	1	12	1	20481
SchoolStrike4Climate	1006419421244678144	595.21428	.08333	.00014	1	12	3	20481
NoMineInGallok	1006419421244678144	2083.25000	.08333	.00004	1	12	1	20481
IPCC	1006419421244678144	114.15068	.08333	.00073	1	12	15	20481
InternationalWomensDay	1006419421244678144	30.52380	.08333	.00273	1	12	56	20481
EarthDay	1006419421244678144	41.66500	.08333	.00200	1	12	41	20481
USSmess	1007269733316677639	523.28571	1.42857	.00273	10	7	56	20481
USS	1007269733316677639	231.03504	.85714	.00371	6	7	76	20481
OneOfUsAllOfUs	1007269733316677639	29.55655	.42857	.01450	3	7	297	20481
UUKlies	1007269733316677639	3571.25000	.14285	.00004	1	7	1	20481
USSstrike	1007269733316677639	1020.35714	.14285	.00014	1	7	3	20481
OneofUsAllOfUs	1007269733316677639	3571.25000	.14285	.00004	1	7	1	20481
4Fights	1007269733316677639	3571.25000	.14285	.00004	1	7	1	20481
StopFakeRenewables	1008688766062661632	1052.63157	.20000	.00019	1	5	4	20481
schoolstrike4climate	1008688766062661632	1428.57142	.20000	.00014	1	5	3	20481
PeopleNotProfit	1008688766062661632	217.39130	.20000	.00092	1	5	19	20481
IPCCReport	1008688766062661632	689.65517	.20000	.00029	1	5	6	20481
fridaysforfuture	1008688766062661632	2222.22222	.20000	.00009	1	5	2	20481
Ukraine	1009546724	1.04729	.16363	.15624	9	55	3200	20481
SlavaUkraini	1009546724	24.61702	.12727	.00517	7	55	106	20481
StopRussianAggression	1009546724	62.33714	.10909	.00175	6	55	36	20481
FreeUkraine	1009546724	69.92948	.10909	.00156	6	55	32	20481
FCKPTN	1009546724	320.85294	.10909	.00034	6	55	7	20481
FckPutin	1009546724	109.51807	.09090	.00083	5	55	17	20481
Bucha	1009546724	20.24498	.09090	.00449	5	55	92	20481
StandWithUkriane	1009546724	15.87772	.07272	.00458	4	55	94	20481
StandWithUkraine	1009546724	1.60000	.07272	.04545	4	55	931	20481
PutinWarCriminal	1009546724	21.32551	.07272	.00341	4	55	70	20481
OpRussia	1009546724	35.47317	.07272	.00205	4	55	42	20481
Kyiv	1009546724	4.04899	.07272	.01796	4	55	368	20481
BuchaMRRRRRRacre	1009546724	24.90410	.07272	.00292	4	55	60	20481
Anonymous	1009546724	14.90163	.07272	.00488	4	55	100	20481
UkraineRussianWar	1009546724	7.26231	.05454	.00751	3	55	154	20481
StopPutinNOW	1009546724	10.65234	.05454	.00512	3	55	105	20481
PutinIsaWarCriminal	1009546724	12.01321	.05454	.00454	3	55	93	20481
Mariupol	1009546724	4.96721	.05454	.01098	3	55	225	20481
Kharkiv	1009546724	9.32307	.05454	.00585	3	55	120	20481
AAAAAAPutin	1009546724	227.25000	.05454	.00024	3	55	5	20481
UkraineUnderAttack	1009546724	4.84154	.03636	.00751	2	55	154	20481
UkraineRussiaWar	1009546724	2.31297	.03636	.01572	2	55	322	20481
BuchaGenocide	1009546724	151.50000	.03636	.00024	2	55	5	20481
Vorzel	1009546724	202.00000	.01818	.00009	1	55	2	20481
Ukriane	1009546724	6.65934	.01818	.00273	1	55	56	20481
UkraineWomen	1009546724	454.50000	.01818	.00004	1	55	1	20481
UkraineWar	1009546724	1.78235	.01818	.01020	1	55	209	20481
Ukraineunderattack	1009546724	129.85714	.01818	.00014	1	55	3	20481
ukraineunderattack	1009546724	454.50000	.01818	.00004	1	55	1	20481
UkraineInvasion	1009546724	4.96721	.01818	.00366	1	55	75	20481
StopRussia	1009546724	2.46675	.01818	.00737	1	55	151	20481
StopPutinsWar	1009546724	24.90410	.01818	.00073	1	55	15	20481
StopBloodyEnergy	1009546724	454.50000	.01818	.00004	1	55	1	20481
StandUpForUkraine	1009546724	11.65384	.01818	.00156	1	55	32	20481
StandingWithUkraine	1009546724	15.53846	.01818	.00117	1	55	24	20481
slavaukraini	1009546724	129.85714	.01818	.00014	1	55	3	20481
PutinWarCrimes	1009546724	7.45081	.01818	.00244	1	55	50	20481
PutinsWar	1009546724	5.64596	.01818	.00322	1	55	66	20481
OpRussian	1009546724	454.50000	.01818	.00004	1	55	1	20481
NoWarWithUkraine	1009546724	129.85714	.01818	.00014	1	55	3	20481
NoWarInUkraine	1009546724	28.85714	.01818	.00063	1	55	13	20481
NoWar	1009546724	4.78421	.01818	.00380	1	55	78	20481
Moscow	1009546724	10.38857	.01818	.00175	1	55	36	20481
Kramatorsk	1009546724	21.90361	.01818	.00083	1	55	17	20481
Kherson	1009546724	6.01986	.01818	.00302	1	55	62	20481
Kharkov	1009546724	42.27906	.01818	.00043	1	55	9	20481
Irpen	1009546724	53.47058	.01818	.00034	1	55	7	20481
GloryToUkraine	1009546724	28.85714	.01818	.00063	1	55	13	20481
GenocideOfUkrainians	1009546724	24.90410	.01818	.00073	1	55	15	20481
FckRussia	1009546724	454.50000	.01818	.00004	1	55	1	20481
fckrussia	1009546724	454.50000	.01818	.00004	1	55	1	20481
Fckputin	1009546724	454.50000	.01818	.00004	1	55	1	20481
Chernihiv	1009546724	5.64596	.01818	.00322	1	55	66	20481
Bryansk	1009546724	129.85714	.01818	.00014	1	55	3	20481
AAAAAARussia	1009546724	454.50000	.01818	.00004	1	55	1	20481
LongCovid	1009900083402461185	109.12888	5.44444	.04989	49	9	1022	20481
MECFS	1009900083402461185	419.28571	1.55555	.00371	14	9	76	20481
LongList	1009900083402461185	793.64285	.11111	.00014	1	9	3	20481
Longcovid	1009900083402461185	191.56896	.11111	.00058	1	9	12	20481
longcovid	1009900083402461185	18.67394	.11111	.00595	1	9	122	20481
fundraisingbc007MEcfs	1009900083402461185	1234.55555	.11111	.00009	1	9	2	20481
Fibromyalgia	1009900083402461185	2777.75000	.11111	.00004	1	9	1	20481
BC007	1009900083402461185	1234.55555	.11111	.00009	1	9	2	20481
BA2	1009900083402461185	27.77750	.11111	.00400	1	9	82	20481
urgencyofsummer	1010321477772697601	6250.00000	.25000	.00004	1	4	1	20481
InfectionMandate	1010321477772697601	396.82539	.25000	.00063	1	4	13	20481
ImmmunizeUnder5s	1010321477772697601	6250.00000	.25000	.00004	1	4	1	20481
BestSpringEver	1010321477772697601	6250.00000	.25000	.00004	1	4	1	20481
torybrexit	1010384732759252997	1286.76470	.43750	.00034	7	16	7	20481
brexit	1010384732759252997	333.96946	.43750	.00131	7	16	27	20481
shapeshifter	1010384732759252997	1315.78947	.25000	.00019	4	16	4	20481
torysleaze	1010384732759252997	1388.88888	.12500	.00009	2	16	2	20481
covid	1010384732759252997	37.65060	.12500	.00332	2	16	68	20481
ToryBrexitDisaster	1010384732759252997	260.41666	.06250	.00024	1	16	5	20481
ToriesUnfitToGovern	1010384732759252997	61.27450	.06250	.00102	1	16	21	20481
RussiaReport	1010384732759252997	61.27450	.06250	.00102	1	16	21	20481
PutinsBrexit	1010384732759252997	260.41666	.06250	.00024	1	16	5	20481
Partygate	1010384732759252997	9.01875	.06250	.00693	1	16	142	20481
JohnsonOut	1010384732759252997	7.23379	.06250	.00864	1	16	177	20481
johnsonout	1010384732759252997	130.20833	.06250	.00048	1	16	10	20481
johnsonisarussianRRRRRRet	1010384732759252997	1562.50000	.06250	.00004	1	16	1	20481
BrexitBritain	1010384732759252997	117.92452	.06250	.00053	1	16	11	20481
Brexit	1010384732759252997	8.65650	.06250	.00722	1	16	148	20481
BorisJohnson	1010384732759252997	10.94570	.06250	.00571	1	16	117	20481
Covid19	1010593116	68.30309	.64000	.00937	16	25	192	20481
WeNotMe	1010593116	857.14285	.12000	.00014	3	25	3	20481
COVID19	1010593116	1.91418	.12000	.06269	3	25	1284	20481
COVIDisAirborne	1010593116	8.03212	.08000	.00996	2	25	204	20481
WearAMask	1010593116	8.03212	.04000	.00498	1	25	102	20481
VaxNArguments	1010593116	1000.00000	.04000	.00004	1	25	1	20481
SafeSchools	1010593116	1000.00000	.04000	.00004	1	25	1	20481
OmicronBuffet	1010593116	1000.00000	.04000	.00004	1	25	1	20481
NewAndApproved	1010593116	1000.00000	.04000	.00004	1	25	1	20481
MaskUp	1010593116	9.54653	.04000	.00419	1	25	86	20481
MasksWork	1010593116	117.64705	.04000	.00034	1	25	7	20481
Maskerade	1010593116	1000.00000	.04000	.00004	1	25	1	20481
LongCovid	1010593116	.80176	.04000	.04989	1	25	1022	20481
KeepOnAMask	1010593116	1000.00000	.04000	.00004	1	25	1	20481
Equity	1010593116	444.44444	.04000	.00009	1	25	2	20481
DoneWithCovid	1010593116	166.66666	.04000	.00024	1	25	5	20481
COVIDisNotOver	1010593116	285.71428	.04000	.00014	1	25	3	20481
CovidIsNotOver	1010593116	3.04645	.04000	.01313	1	25	269	20481
CovidIsAirborne	1010593116	37.38317	.04000	.00107	1	25	22	20481
ClRRRRRRNotDismissed	1010593116	1000.00000	.04000	.00004	1	25	1	20481
CareAboutTheAirWeShare	1010593116	1000.00000	.04000	.00004	1	25	1	20481
BeWiseImmunize	1010593116	1000.00000	.04000	.00004	1	25	1	20481
BeGreatVaccinate	1010593116	444.44444	.04000	.00009	1	25	2	20481
AllForOne	1010593116	1000.00000	.04000	.00004	1	25	1	20481
AirNecessities	1010593116	1000.00000	.04000	.00004	1	25	1	20481
ableg	1010623406176235520	98.81422	3.00000	.03036	3	1	622	20481
WomenWontWheesht	1011580472709787648	150.82051	.11764	.00078	2	17	16	20481
SOS	1011580472709787648	840.28571	.11764	.00014	2	17	3	20481
SaveOurServices	1011580472709787648	1307.11111	.11764	.00009	2	17	2	20481
womenwontwheest	1011580472709787648	653.55555	.05882	.00009	1	17	2	20481
UUUUUUNotGender	1011580472709787648	150.82051	.05882	.00039	1	17	8	20481
UUUUUUMatters	1011580472709787648	63.93478	.05882	.00092	1	17	19	20481
sixwords	1011580472709787648	1470.50000	.05882	.00004	1	17	1	20481
SaveWomensSports	1011580472709787648	52.51785	.05882	.00112	1	17	23	20481
saveourUUUUUU	1011580472709787648	1470.50000	.05882	.00004	1	17	1	20481
SaveOurStats	1011580472709787648	1470.50000	.05882	.00004	1	17	1	20481
SaveOurSports	1011580472709787648	1470.50000	.05882	.00004	1	17	1	20481
SaveOurSport	1011580472709787648	1470.50000	.05882	.00004	1	17	1	20481
SaveOurSpaces	1011580472709787648	420.14285	.05882	.00014	1	17	3	20481
RespectMyUUUUUU	1011580472709787648	48.21311	.05882	.00122	1	17	25	20481
No2SelfID	1011580472709787648	1470.50000	.05882	.00004	1	17	1	20481
makingworkvisible	1011580472709787648	1470.50000	.05882	.00004	1	17	1	20481
InternationalWomensDay	1011580472709787648	21.54578	.05882	.00273	1	17	56	20481
BenFrazier	1011970623470489601	5172.41379	1.50000	.00029	3	2	6	20481
Electionintegrity	1011970623470489601	12500.00000	.50000	.00004	1	2	1	20481
Russian	1012201853877186562	10.21972	.20000	.01957	5	25	401	20481
Ukraine	1012201853877186562	.76804	.12000	.15624	3	25	3200	20481
COVID19	1012201853877186562	1.91418	.12000	.06269	3	25	1284	20481
Russia	1012201853877186562	1.36332	.08000	.05868	2	25	1202	20481
Zelensky	1012201853877186562	10.92896	.04000	.00366	1	25	75	20481
YuriGagarin	1012201853877186562	1000.00000	.04000	.00004	1	25	1	20481
warhammer40k	1012201853877186562	1000.00000	.04000	.00004	1	25	1	20481
VaccinesWork	1012201853877186562	37.38317	.04000	.00107	1	25	22	20481
UkraineWar	1012201853877186562	3.92156	.04000	.01020	1	25	209	20481
UkraineRussiaWar	1012201853877186562	2.54452	.04000	.01572	1	25	322	20481
UkraineRussia	1012201853877186562	15.81027	.04000	.00253	1	25	52	20481
Texas	1012201853877186562	20.51282	.04000	.00195	1	25	40	20481
StepanBandera	1012201853877186562	285.71428	.04000	.00014	1	25	3	20481
StandWithUkraine	1012201853877186562	.88008	.04000	.04545	1	25	931	20481
Socialism	1012201853877186562	43.47826	.04000	.00092	1	25	19	20481
Louisiana	1012201853877186562	1000.00000	.04000	.00004	1	25	1	20481
Holocaust	1012201853877186562	30.53435	.04000	.00131	1	25	27	20481
History	1012201853877186562	35.71428	.04000	.00112	1	25	23	20481
GamesWorkshop	1012201853877186562	1000.00000	.04000	.00004	1	25	1	20481
FightForSocialism	1012201853877186562	1000.00000	.04000	.00004	1	25	1	20481
Covid19	1012201853877186562	4.26894	.04000	.00937	1	25	192	20481
CoronavirusUpdates	1012201853877186562	285.71428	.04000	.00014	1	25	3	20481
coronavirus	1012201853877186562	14.38848	.04000	.00278	1	25	57	20481
BreakYourChains	1012201853877186562	1000.00000	.04000	.00004	1	25	1	20481
AzovBattalion	1012201853877186562	137.93103	.04000	.00029	1	25	6	20481
UAlberta	1012209702	3508.73684	.66666	.00019	2	3	4	20481
yeg	1012209702	51.36055	.33333	.00649	1	3	133	20481
COVID19AB	1012209702	47.75501	.33333	.00698	1	3	143	20481
Covid19	101447362	213.44717	2.00000	.00937	4	2	192	20481
Omicron	101447362	28.85170	.50000	.01733	1	2	355	20481
AlboForPM	1016532597432725506	141.44271	1.00000	.00707	4	4	145	20481
QandA	1016532597432725506	150.60240	.25000	.00166	1	4	34	20481
MadAsHell	1016532597432725506	1785.71428	.25000	.00014	1	4	3	20481
afternoonbriefing	1016532597432725506	396.82539	.25000	.00063	1	4	13	20481
auspol	1016943828052336640	4.47677	.32000	.07148	8	25	1464	20481
abc730	1016943828052336640	49.68944	.16000	.00322	4	25	66	20481
ScottyThePathologicalLiar	1016943828052336640	82.19178	.12000	.00146	3	25	30	20481
ScottyFromPhotoOps	1016943828052336640	112.14953	.12000	.00107	3	25	22	20481
scottythefailure	1016943828052336640	571.42857	.08000	.00014	2	25	3	20481
ScottyFromMarketing	1016943828052336640	150.94339	.08000	.00053	2	25	11	20481
ScottyDoesNothing	1016943828052336640	109.58904	.08000	.00073	2	25	15	20481
insiders	1016943828052336640	8.36820	.08000	.00956	2	25	196	20481
AusVotes2022	1016943828052336640	14.51905	.08000	.00551	2	25	113	20481
ausvotes	1016943828052336640	7.59013	.08000	.01054	2	25	216	20481
AlboForPM	1016943828052336640	11.31541	.08000	.00707	2	25	145	20481
ThisIsNotJournalism	1016943828052336640	117.64705	.04000	.00034	1	25	7	20481
thedrum	1016943828052336640	54.79452	.04000	.00073	1	25	15	20481
Scottythefukwit	1016943828052336640	137.93103	.04000	.00029	1	25	6	20481
ScottytheFailure	1016943828052336640	54.79452	.04000	.00073	1	25	15	20481
ScottyTheCompletePsycho	1016943828052336640	93.02325	.04000	.00043	1	25	9	20481
ScottyTheBully	1016943828052336640	210.52631	.04000	.00019	1	25	4	20481
ScottyTheAnnouncer	1016943828052336640	166.66666	.04000	.00024	1	25	5	20481
ScottyDoesntGiveARats	1016943828052336640	117.64705	.04000	.00034	1	25	7	20481
LismoreFloods	1016943828052336640	102.56410	.04000	.00039	1	25	8	20481
IStandWithUkraine	1016943828052336640	7.00525	.04000	.00571	1	25	117	20481
FFFFFFhead	1016943828052336640	43.47826	.04000	.00092	1	25	19	20481
COVID19nsw	1016943828052336640	68.96551	.04000	.00058	1	25	12	20481
chisholmvotes	1016943828052336640	1000.00000	.04000	.00004	1	25	1	20481
Albo4PM	1016943828052336640	75.47169	.04000	.00053	1	25	11	20481
OnThisDay	1017178987976712192	3092.78350	3.00000	.00097	3	1	20	20481
LongCovid	1018479795984830465	20.04409	1.00000	.04989	2	2	1022	20481
Covid	1018479795984830465	128.86597	1.00000	.00776	2	2	159	20481
JohnsonOut14	1019944707311403008	471.69811	.25000	.00053	2	8	11	20481
StandwithUkraine	1019944707311403008	367.64705	.12500	.00034	1	8	7	20481
LongCovidKids	1019944707311403008	32.46753	.12500	.00385	1	8	79	20481
LongCovid	1019944707311403008	2.50551	.12500	.04989	1	8	1022	20481
johnsonout	1019944707311403008	260.41666	.12500	.00048	1	8	10	20481
India	1019944707311403008	128.86597	.12500	.00097	1	8	20	20481
CSR	1019944707311403008	3125.00000	.12500	.00004	1	8	1	20481
COVID19	1019944707311403008	1.99393	.12500	.06269	1	8	1284	20481
StopEACOP	1019974187975430144	1388.88888	.12500	.00009	1	8	2	20481
SpacesHost	1019974187975430144	1388.88888	.12500	.00009	1	8	2	20481
PolicingBill	1019974187975430144	73.52941	.12500	.00170	1	8	35	20481
KillTheBill	1019974187975430144	171.23287	.12500	.00073	1	8	15	20481
EcologicalEmergency	1019974187975430144	3125.00000	.12500	.00004	1	8	1	20481
CNOOC	1019974187975430144	3125.00000	.12500	.00004	1	8	1	20481
Climate	1019974187975430144	198.41269	.12500	.00063	1	8	13	20481
BeyondPolitics	1019974187975430144	3125.00000	.12500	.00004	1	8	1	20481
VeteransForTheConsMMMMMMutionalOath	1020662868524511233	6250.00000	.25000	.00004	1	4	1	20481
SemperFi	1020662868524511233	6250.00000	.25000	.00004	1	4	1	20481
HillaryWasRightAboutEverything	1020662868524511233	2777.77777	.25000	.00009	1	4	2	20481
GetVaccinatedNow	1020662868524511233	177.30496	.25000	.00141	1	4	29	20481
WomensHistoryMonth	1021208979513454597	213.67307	.33333	.00156	1	3	32	20481
PRRRRRRover	1021208979513454597	775.18604	.33333	.00043	1	3	9	20481
antisemitism	1021208979513454597	343.63917	.33333	.00097	1	3	20	20481
KetanjiBrownJackson	1021382089059590144	427.35042	1.00000	.00234	2	2	48	20481
MitchPlease	1021382089059590144	152.90519	.50000	.00327	1	2	67	20481
Ukraine	1022257111621926913	1.60010	.25000	.15624	3	12	3200	20481
Macron	1022257111621926913	271.73913	.25000	.00092	3	12	19	20481
USA	1022257111621926913	72.77729	.16666	.00229	2	12	47	20481
France	1022257111621926913	100.39759	.16666	.00166	2	12	34	20481
Zemmour	1022257111621926913	925.88888	.08333	.00009	1	12	2	20481
UN	1022257111621926913	51.75776	.08333	.00161	1	12	33	20481
Sweden	1022257111621926913	85.90721	.08333	.00097	1	12	20	20481
Presidentielles2022	1022257111621926913	2083.25000	.08333	.00004	1	12	1	20481
Peru	1022257111621926913	925.88888	.08333	.00009	1	12	2	20481
Pecresse	1022257111621926913	2083.25000	.08333	.00004	1	12	1	20481
LePen	1022257111621926913	213.66666	.08333	.00039	1	12	8	20481
DebatMacronLePen	1022257111621926913	2083.25000	.08333	.00004	1	12	1	20481
Ukraine	1024435689683861506	4.26689	.66666	.15624	2	3	3200	20481
Russia	1024435689683861506	5.68047	.33333	.05868	1	3	1202	20481
Corsica	1024435689683861506	8333.25000	.33333	.00004	1	3	1	20481
Ukraine	1024584285620236288	.91429	.14285	.15624	1	7	3200	20481
StopRussia	1024584285620236288	19.38263	.14285	.00737	1	7	151	20481
StandWithUkraine	1024584285620236288	3.14301	.14285	.04545	1	7	931	20481
Russian_aggression	1024584285620236288	3571.25000	.14285	.00004	1	7	1	20481
roshel	1024584285620236288	3571.25000	.14285	.00004	1	7	1	20481
PutinIsaWarCriminal	1024584285620236288	31.46475	.14285	.00454	1	7	93	20481
ArmUkraineNow	1024584285620236288	40.69800	.14285	.00351	1	7	72	20481
JohnsonOut	1026756113973354496	655.86342	5.66666	.00864	17	3	177	20481
Partygate	1026756113973354496	144.30014	1.00000	.00693	3	3	142	20481
SueGrayReport	1026756113973354496	380.94857	.66666	.00175	2	3	36	20481
RelistWolves	1027348660013563904	2803.73831	3.00000	.00107	3	1	22	20481
WW3	102825384	164.19540	.14285	.00087	1	7	18	20481
tutu	102825384	3571.25000	.14285	.00004	1	7	1	20481
eugenics	102825384	1587.22222	.14285	.00009	1	7	2	20481
COVID19	102825384	2.27867	.14285	.06269	1	7	1284	20481
capitalism	102825384	210.07352	.14285	.00068	1	7	14	20481
CanadianMediaFailed	102825384	3571.25000	.14285	.00004	1	7	1	20481
CanadaTruckers	102825384	269.52830	.14285	.00053	1	7	11	20481
LoveDuringLockup	1029041185808109568	7894.73684	1.50000	.00019	3	2	4	20481
LoveAfterLockup	1029041185808109568	10714.28571	1.50000	.00014	3	2	3	20481
Ukraine	1029475507430146048	21.33467	3.33333	.15624	10	3	3200	20481
Anonymous	1029475507430146048	614.75409	3.00000	.00488	9	3	100	20481
Russian	1029475507430146048	17.03270	.33333	.01957	1	3	401	20481
auspol	1029612428026204160	16.78791	1.20000	.07148	6	5	1464	20481
insiders	1029612428026204160	41.84100	.40000	.00956	2	5	196	20481
ausvotes	1029612428026204160	37.95066	.40000	.01054	2	5	216	20481
EpicFail	1029612428026204160	5000.00000	.20000	.00004	1	5	1	20481
Covid	1029612428026204160	25.77319	.20000	.00776	1	5	159	20481
cats	1031530278	100.13084	.21428	.00214	3	14	44	20481
CatsOfTwitter	1031530278	147.26804	.14285	.00097	2	14	20	20481
AnimalCruelty	1031530278	595.20833	.14285	.00024	2	14	5	20481
AnimalAbuse	1031530278	492.58620	.14285	.00029	2	14	6	20481
TampaBay	1031530278	793.55555	.07142	.00009	1	14	2	20481
tahoe	1031530278	1785.50000	.07142	.00004	1	14	1	20481
NYC	1031530278	23.26384	.07142	.00307	1	14	63	20481
laketahoe	1031530278	1785.50000	.07142	.00004	1	14	1	20481
Hawaii	1031530278	210.05882	.07142	.00034	1	14	7	20481
Florida	1031530278	61.04273	.07142	.00117	1	14	24	20481
dogs	1031530278	5.83020	.07142	.01225	1	14	251	20481
Caturday	1031530278	105.02941	.07142	.00068	1	14	14	20481
California	1031530278	19.04533	.07142	.00375	1	14	77	20481
Bears	1031530278	793.55555	.07142	.00009	1	14	2	20481
KimPotter	1031946753510203392	1052.63157	.20000	.00019	1	5	4	20481
JussieSmollett	1031946753510203392	588.23529	.20000	.00034	1	5	7	20481
DuanteWright	1031946753510203392	2222.22222	.20000	.00009	1	5	2	20481
BreonnaTaylor	1031946753510203392	344.82758	.20000	.00058	1	5	12	20481
AhmaudArbery	1031946753510203392	416.66666	.20000	.00048	1	5	10	20481
VotingRightsAct	1033084441697153024	763.35877	1.00000	.00131	3	3	27	20481
USHistory	1033084441697153024	7142.85714	1.00000	.00014	3	3	3	20481
VotingRights	1033084441697153024	245.09558	.33333	.00136	1	3	28	20481
abed	1033088633731870722	55.20993	.44444	.00805	4	9	165	20481
yeg	1033088633731870722	51.36055	.33333	.00649	3	9	133	20481
YEG	1033088633731870722	209.64150	.11111	.00053	1	9	11	20481
